file,S47_PH2:S47_SNARES,S47_PH2:STX3_SNARES,S47_PH2:SYB_SNARES,Syt:S47_SNARES,Syt:STX3_SNARES,Syt:SYB_SNARES,S47_PH1:PH2_SNARES,S47_PH1:S47_SNARES,S47_PH1:STX3_SNARES,S47_PH1:SYB_SNARES,S47_PH1:Syt_SNARES
fold_s47flcomplexin48_model_0.cif,77.36,0,0,1191.7,58.28,168.61,0,24.36,78.4,0,0
fold_s47flcomplexin49_model_0.cif,260.65,199.9,0,682.62,85.99,0,272.25,0,0,0,0
fold_s47flcomplexin4_model_0.cif,0,0,0,402.62,0,375.27,0,0,29.02,0,0
fold_s47flcomplexin50_model_0.cif,0,0,0,697.07,300.27,0,0,0,35.55,0,452.91
fold_s47flcomplexin51_model_0.cif,41.29,334.18,0,770.68,180.05,0,234.38,0,0,0,0
fold_s47flcomplexin52_model_0.cif,289.79,0,239.43,963.19,279.97,0,0,0,34.42,0,0
fold_s47flcomplexin53_model_0.cif,314.65,290.93,0,0,444.84,28.8,245.26,0,0,0,0
fold_s47flcomplexin54_model_0.cif,230.71,77.7,0,848.34,0,116.14,0,0,40.39,0,0
fold_s47flcomplexin55_model_0.cif,132.39,0,0,382.43,255.54,28.46,0,0,49.61,0,522.28
fold_s47flcomplexin56_model_0.cif,295.23,234.98,0,726.44,69.71,0,238.08,0,0,0,0
fold_s47flcomplexin57_model_0.cif,0,157.62,0,1215.3,216.58,53.38,199.74,22.43,0,0,332.85
fold_s47flcomplexin58_model_0.cif,171.98,334.44,0,63.3,162.35,0,238.94,0,0,0,0
fold_s47flcomplexin59_model_0.cif,13.28,0,0,697.12,377.44,1.51,0,100.82,243.64,0,149.12
fold_s47flcomplexin5_model_0.cif,19.54,0,18.65,818.63,256.55,0,0,16.02,76.38,0,343.73
fold_s47flcomplexin60_model_0.cif,0,119.3,0,701.19,402.91,0,0,0,42.72,0,180.28
fold_s47flcomplexin6_model_0.cif,0,199.54,86.03,1291.4,597.64,7.92,282.64,39.83,64.03,0,186.22
fold_s47flcomplexin7_model_0.cif,217.3,0,210.9,1017.2,42.21,97.36,0,0,44.57,0,0
fold_s47flcomplexin8_model_0.cif,1.66,0,0,964.54,494.54,0,0,2.22,49.64,0,641.98
fold_s47flcomplexin9_model_0.cif,32.17,320.94,0,639.67,0,368.76,246.49,0,0,0,0
fold_2025_05_23_10_56_rt_full_length_complex_31_model_0.cif,272.5,239.3,0,562.47,0,290.41,261.48,0,0,0,0
fold_2025_05_23_10_56_rt_full_length_complex_32_model_0.cif,428.95,0,38.36,291.9,528.94,0,0,0,177.6,0,329.36
fold_2025_05_23_10_56_rt_full_length_complex_33_model_0.cif,85.97,360.03,0,893.43,28.91,44.86,257.52,0,0,0,0
fold_2025_05_23_10_56_rt_full_length_complex_34_model_0.cif,0,0,0,913.43,201.3,0,0,39.1,44.54,0,356.45
fold_2025_05_23_10_56_rt_full_length_complex_35_model_0.cif,0,160.49,71.2,974.64,392.44,0,294.38,40.37,33.81,0,616.62
fold_2025_05_23_10_56_rt_full_length_complex_36_model_0.cif,23.54,203.74,0,847.31,189.6,0,245.99,9.12,0,0,190.71
fold_2025_05_23_10_56_rt_full_length_complex_37_model_0.cif,13,0,71.68,1211.8,127.85,0,0,0,56.74,0,0
fold_2025_05_23_10_56_rt_full_length_complex_38_model_0.cif,58.96,0,153.61,815.34,180.06,0,0,66.83,174.85,0,98.78
fold_2025_05_23_10_56_rt_full_length_complex_39_model_0.cif,17.67,0,53.31,1049,478.87,0,0,0,38.16,0,0
fold_2025_05_23_10_57_rt_full_length_complex_40_model_0.cif,108.08,368.91,0,933.47,277.65,0,247.72,0,0,0,0
fold_2025_05_22_15_12_rt_full_length_complex_1_model_0.cif,0,0,0,750.56,66.6,0,0,0,92.43,0,0
fold_2025_05_22_15_12_rt_full_length_complex_2_model_0.cif,143.58,0,0,709.47,0,29.18,0,15.14,102.66,0,0
fold_2025_05_22_15_13_rt_full_length_complex_3_model_0.cif,298.76,0,241.63,1096.8,40.49,53.91,0,0,71.15,0,0
fold_2025_05_22_15_13_rt_full_length_complex_4_model_0.cif,0,61.43,0,841.75,440.08,0,272.22,107.49,96.79,0,644.91
fold_2025_05_22_15_13_rt_full_length_complex_5_model_0.cif,165.67,384.55,0,1045.7,31.7,308.68,239.56,0,0,0,0
fold_2025_05_22_15_20_rt_full_length_complex_10_model_0.cif,0,0,0,985.78,0,222.43,0,0,45.57,0,0
fold_2025_05_22_15_20_rt_full_length_complex_11_model_0.cif,0,212.39,1.84,674.47,387.71,0,274.31,50.33,51.92,0,669.33
fold_2025_05_22_15_20_rt_full_length_complex_12_model_0.cif,580.41,0,256.16,584,304.28,0,0,0,84.72,0,153.01
fold_2025_05_22_15_20_rt_full_length_complex_13_model_0.cif,9.33,0,0,596.62,0,153.02,0,0,43.52,0,0
fold_2025_05_22_15_20_rt_full_length_complex_14_model_0.cif,178.07,46.22,0,483,0,237.95,0,0,134.74,0,0
fold_2025_05_22_15_20_rt_full_length_complex_15_model_0.cif,54.16,346.61,0,423.11,5.83,572.47,275.44,0,0,0,0
fold_2025_05_22_15_20_rt_full_length_complex_16_model_0.cif,0,0,0,852.71,109.28,0,0,81.09,146.97,0,181.6
fold_2025_05_22_15_20_rt_full_length_complex_17_model_0.cif,454.28,0,218.47,492.25,553.07,0,0,35.57,127.85,0,7.16
fold_2025_05_22_15_20_rt_full_length_complex_7_model_0.cif,71.56,0,6.83,850.05,398.93,0,0,28.54,66.63,0,552.34
fold_2025_05_22_15_20_rt_full_length_complex_8_model_0.cif,454.28,0,227.73,777.13,312.09,0,0,4.5,74.86,0,420.57
fold_2025_05_22_15_20_rt_full_length_complex_9_model_0.cif,437.83,0,292.37,589.24,299.32,0,0,0,42.06,0,322.81
fold_2025_05_22_15_20rt_full_length_complex_6_model_0.cif,0,0,0,498.52,0,388.2,0,0,34.5,0,0
fold_2025_05_22_15_21_rt_full_length_complex_18_model_0.cif,0,145.77,14.3,929.63,489.17,0,308.84,18.39,55.25,0,445.82
fold_2025_05_22_15_21_rt_full_length_complex_19_model_0.cif,0,219.35,31.69,982.32,399.96,0,287.01,69.4,37.02,0,253.74
fold_2025_05_22_15_21_rt_full_length_complex_20_model_0.cif,189.27,254.74,0,1119.2,50.56,57.61,240.88,0,0,0,0
fold_2025_05_22_15_21_rt_full_length_complex_21_model_0.cif,0,0,0,771.92,300.92,0,0,0,56.31,0,390.68
fold_2025_05_22_15_21_rt_full_length_complex_22_model_0.cif,110.86,0,0,737.27,23.23,109.47,0,0,104.02,0,0
fold_2025_05_22_15_21_rt_full_length_complex_23_model_0.cif,4.67,199.73,0,899.65,315.46,5.6,208.73,23.4,0,0,0
fold_2025_05_22_15_21_rt_full_length_complex_24_model_0.cif,0,243.65,6.14,885.06,299.38,0,243.56,0,0,0,10.15
fold_2025_05_22_15_21_rt_full_length_complex_25_model_0.cif,442.6,340.74,0,984.57,0,216.1,282.38,0,0,0,0
fold_2025_05_22_15_21_rt_full_length_complex_26_model_0.cif,326.94,0,121.67,1082.9,0,214.52,0,0,47.47,0,0
fold_2025_05_22_15_21_rt_full_length_complex_27_model_0.cif,0,0,0,1056.3,549.04,0,0,0,65.22,0,63.81
fold_2025_05_22_15_21_rt_full_length_complex_28_model_0.cif,138.19,0,0,916.4,0,60.37,0,30.02,56.12,0,0
fold_2025_05_22_15_22_rt_full_length_complex_29_model_0.cif,429.06,0,78.07,237.02,305.44,0,0,0,40.03,0,343.22
fold_2025_05_22_15_22_rt_full_length_complex_30_model_0.cif,257.98,0,0,266.6,277.23,747.17,0,67.96,195.21,0,0
